,YEAR WON,SPORT,LEVEL,GENDER,DIVISION,WINNER
339,1969-70,Wrestling,Sr. Varsity,Boys,None,Lord Beaverbrook
340,1970-71,Field Hockey,Jr. Varsity,Girls,None,James Fowler
341,1970-71,Badminton,Aggregate,Coed,Div I,Western Canada
342,1970-71,Basketball,Jr. Varsity,Boys,Div I,Henry Wise Wood
343,1970-71,Basketball,Jr. Varsity,Boys,Div II,Dr. E.P. Scarlett
344,1970-71,Basketball,Jr. Varsity,Girls,Div I,St. Francis
345,1970-71,Basketball,Sr. Varsity,Boys,Div I,St. Francis
346,1970-71,Basketball,Sr. Varsity,Boys,Div II,Lord Beaverbrook
347,1970-71,Basketball,Sr. Varsity,Girls,Div I,Bowness
348,1970-71,Diving,Grand Aggregate,Coed,None,Lord Beaverbrook
349,1970-71,Football,Jr. Varsity,Boys,Div I,Henry Wise Wood
350,1970-71,Football,Sr. Varsity,Boys,Div I,St. Francis
351,1970-71,Football,Sr. Varsity,Boys,Div II,William Aberhart
352,1970-71,Soccer,Varsity,Boys,Div I,Not Awarded
353,1970-71,Swimming,Grand Aggregate,Coed,None,Not Awarded
354,1970-71,Track and Field,Jr. Varsity,Boys,None,Ernest Manning
355,1970-71,Track and Field,Jr. Varsity,Girls,None,Western Canada
356,1970-71,Track and Field,Sr. Varsity,Boys,None,St. Francis
357,1970-71,Track and Field,Sr. Varsity,Girls,None,Central Memorial
358,1970-71,Volleyball,Jr. Varsity,Girls,Div I,St. Mary's
359,1970-71,Volleyball,Sr. Varsity,Boys,Div I,Crescent Heights
360,1970-71,Volleyball,Sr. Varsity,Girls,Div I,Crescent Heights
361,1970-71,Wrestling,Sr. Varsity,Boys,None,Lord Beaverbrook
362,1971-72,Field Hockey,Jr. Varsity,Girls,None,Henry Wise Wood
363,1971-72,Badminton,Aggregate,Coed,Div I,Henry Wise Wood
364,1971-72,Badminton,Aggregate,Coed,Div II,Lord Beaverbrook
365,1971-72,Basketball,Jr. Varsity,Boys,Div I,Lord Beaverbrook
366,1971-72,Basketball,Jr. Varsity,Boys,Div II,Queen Elizabeth
367,1971-72,Basketball,Jr. Varsity,Girls,Div I,Western Canada
368,1971-72,Basketball,Sr. Varsity,Boys,Div I,St. Francis
369,1971-72,Basketball,Sr. Varsity,Boys,Div II,Central Memorial
370,1971-72,Basketball,Sr. Varsity,Girls,Div I,St. Mary’s
371,1971-72,Diving,Grand Aggregate,Coed,None,Lord Beaverbrook
372,1971-72,Football,Jr. Varsity,Boys,Div I,Sir Winston Churchill
373,1971-72,Football,Jr. Varsity,Boys,Div II,Bowness
374,1971-72,Football,Sr. Varsity,Boys,Div I,Crescent Heights
375,1971-72,Football,Sr. Varsity,Boys,Div II,William Aberhart
376,1971-72,Soccer,Varsity,Boys,Div I,Not Awarded
377,1971-72,Swimming,Grand Aggregate,Coed,None,Not Awarded
378,1971-72,Track and Field,Jr. Varsity,Boys,None,Western Canada
379,1971-72,Track and Field,Jr. Varsity,Girls,None,Bishop Carroll
380,1971-72,Track and Field,Sr. Varsity,Boys,None,Central Memorial
381,1971-72,Track and Field,Sr. Varsity,Girls,None,Western Canada
